  
  
  Y = 0.500E+0001     
  Z = -.500E+0000     
  Solids phase =  2
  Time average of ROP_s    from Time = 0.100E+0003 to 0.200E+0003 
  Time = 0.200E+0003     
       X             ROP_s   
  -.625E-0001  0.00E+0000
  0.625E-0001  0.36E-0001
  0.188E+0000  0.36E-0001
  0.312E+0000  0.36E-0001
  0.438E+0000  0.36E-0001
  0.562E+0000  0.36E-0001
  0.688E+0000  0.36E-0001
  0.812E+0000  0.36E-0001
  0.938E+0000  0.36E-0001
  0.106E+0001  0.36E-0001
  0.119E+0001  0.36E-0001
  0.131E+0001  0.36E-0001
  0.144E+0001  0.36E-0001
  0.156E+0001  0.36E-0001
  0.169E+0001  0.36E-0001
  0.181E+0001  0.36E-0001
  0.194E+0001  0.36E-0001
  0.206E+0001  0.36E-0001
  0.219E+0001  0.36E-0001
  0.231E+0001  0.36E-0001
  0.244E+0001  0.36E-0001
  0.256E+0001  0.36E-0001
  0.269E+0001  0.36E-0001
  0.281E+0001  0.36E-0001
  0.294E+0001  0.36E-0001
  0.306E+0001  0.36E-0001
  0.319E+0001  0.36E-0001
  0.331E+0001  0.36E-0001
  0.344E+0001  0.36E-0001
  0.356E+0001  0.36E-0001
  0.369E+0001  0.36E-0001
  0.381E+0001  0.36E-0001
  0.394E+0001  0.36E-0001
  0.406E+0001  0.36E-0001
  0.419E+0001  0.36E-0001
  0.431E+0001  0.36E-0001
  0.444E+0001  0.36E-0001
  0.456E+0001  0.36E-0001
  0.469E+0001  0.36E-0001
  0.481E+0001  0.36E-0001
  0.494E+0001  0.36E-0001
  0.506E+0001  0.36E-0001
  0.519E+0001  0.36E-0001
  0.531E+0001  0.36E-0001
  0.544E+0001  0.36E-0001
  0.556E+0001  0.36E-0001
  0.569E+0001  0.36E-0001
  0.581E+0001  0.36E-0001
  0.594E+0001  0.36E-0001
  0.606E+0001  0.36E-0001
  0.619E+0001  0.36E-0001
  0.631E+0001  0.36E-0001
  0.644E+0001  0.36E-0001
  0.656E+0001  0.36E-0001
  0.669E+0001  0.36E-0001
  0.681E+0001  0.36E-0001
  0.694E+0001  0.36E-0001
  0.706E+0001  0.36E-0001
  0.719E+0001  0.36E-0001
  0.731E+0001  0.36E-0001
  0.744E+0001  0.36E-0001
  0.756E+0001  0.36E-0001
  0.769E+0001  0.36E-0001
  0.781E+0001  0.36E-0001
  0.794E+0001  0.36E-0001
  0.806E+0001  0.36E-0001
  0.819E+0001  0.36E-0001
  0.831E+0001  0.36E-0001
  0.844E+0001  0.36E-0001
  0.856E+0001  0.36E-0001
  0.869E+0001  0.36E-0001
  0.881E+0001  0.36E-0001
  0.894E+0001  0.36E-0001
  0.906E+0001  0.36E-0001
  0.919E+0001  0.36E-0001
  0.931E+0001  0.36E-0001
  0.944E+0001  0.36E-0001
  0.956E+0001  0.36E-0001
  0.969E+0001  0.36E-0001
  0.981E+0001  0.36E-0001
  0.994E+0001  0.36E-0001
  0.101E+0002  0.00E+0000
